"movie","chapter","character","dialog"
"Harry Potter and the Chamber of Secrets","In a cage","Harry Potter","I can't let you out, Hedwig. I'm not allowed to use magic outside of school. Besides, if Uncle Vernon…"
"Harry Potter and the Chamber of Secrets","In a cage","Vernon Dursley","Harry Potter!"
"Harry Potter and the Chamber of Secrets","In a cage","Harry Potter","Now you've done it."
"Harry Potter and the Chamber of Secrets","In a cage","Petunia Dursley","He's in there. Vernon…"
"Harry Potter and the Chamber of Secrets","In a cage","Vernon Dursley","I'm warning you, if you can't control that bloody bird it'll have to go."
"Harry Potter and the Chamber of Secrets","In a cage","Harry Potter","But she's bored! If I could only let outonly let out for an hour or two."
"Harry Potter and the Chamber of Secrets","In a cage","Vernon Dursley","Huh, huh! So you could send secret messages to you freaky little friends. No, sir!"
"Harry Potter and the Chamber of Secrets","In a cage","Harry Potter","But I haven't had any messages from any of my friends… not one… all summer."
"Harry Potter and the Chamber of Secrets","In a cage","Dudley Dursley","Who'd want to be friends with you?"
"Harry Potter and the Chamber of Secrets","In a cage","Vernon Dursley","I should think you'd be a little more grateful. We've raised you since you were a baby, given you the food off our table, even let you have Dudley's second bedroom, purely out of the goodness of our hearts."
"Harry Potter and the Chamber of Secrets","In a cage","Petunia Dursley","Not now, Bopkins. For when the Masons arrive."
"Harry Potter and the Chamber of Secrets","In a cage","Vernon Dursley","Which should be any minute! Ahem…Now let's go over our schedule once again, shall we? Petunia when the Masons arrive you will be…?"
"Harry Potter and the Chamber of Secrets","In a cage","Petunia Dursley","…in the lounge, waiting to welcome them graciously into our home."
"Harry Potter and the Chamber of Secrets","In a cage","Vernon Dursley","Good! And- and Dudley, you will be…?"
"Harry Potter and the Chamber of Secrets","In a cage","Dudley Dursley","I'll be waiting to open the door!"
"Harry Potter and the Chamber of Secrets","In a cage","Vernon Dursley","Excellent! …And you…?"
"Harry Potter and the Chamber of Secrets","In a cage","Harry Potter","I'll be in my bedroom, making no noise and pretending that I don't exist."
"Harry Potter and the Chamber of Secrets","In a cage","Vernon Dursley","Too right, you will. With any luck, this could well be the day I make the biggest deal of my career. And you will not mess it up!"
"Harry Potter and the Chamber of Secrets","Dobby's warning","Vernon Dursley","Mr. and Mrs. Mason! Do come in!"
"Harry Potter and the Chamber of Secrets","Dobby's warning","Dobby","Ha- ha- ha! Ha, ha! Ho, ho, ho! Ha, ha! Harry Potter! Such an honor it is!"
"Harry Potter and the Chamber of Secrets","Dobby's warning","Harry Potter","Who are you?"
"Harry Potter and the Chamber of Secrets","Dobby's warning","Dobby","Dobby sir, Dobby the house elf."
