"movie","chapter","character","dialog"
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Rufus Scrimgeour","These are dark times, there is no denying.  Our world has perhaps faced no greater threat than it does today.  But I say this to our citizenry:  we, ever your servants, continue to defend your liberty and repel the forces that would seek to take it from you. Your Ministry remains strong..."
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Mrs. Granger","Hermione.  Your tea is ready, dear."
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Hermione Granger","Coming, Mum."
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Mrs. Granger","Don't you look lovely.  All packed?"
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Mr. Granger","Are you sure these biscuits are sugar-free?"
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Mrs. Granger","Quite sure, dear.  See the big bold letters that say 'Sugar Free'?  Dead giveaway."
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Mr. Granger","Mm.  Yes. Hello, kitten.  Don't you look lovely."
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Mrs. Granger","Darling, don't be suspicious the biscuits taste so good, be grateful the company's so clever..."
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Hermione Granger","Obliviate."
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Hermione Granger","Goodbye."
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Ron Weasley","What are those?"
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Arthur Weasley","Close the door."
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Arthur Weasley","These are for the Order.  So many are on the run now, it helps them to stay connected with the rest of us.  Know they're not alone..."
"Harry Potter and the Deathly Hallows Part 1","Dark Times","Ron Weasley","C'mon.  Mum's got dinner ready."
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Voldemort","Severus.  I was beginning to worry you'd lost your way.  Come.  I've saved you a seat."
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Voldemort","You know our hosts, of course, Severus.  Narcissa in particular has been most hospitable.  Lucius, on the other hand, is, I fear, burdened by my presence.  Are you, Lucius?"
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Lucius Malfoy","My lord?"
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Voldemort","Are you burdened?"
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Narcissa Malfoy","My lord is always welcome here."
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Voldemort","You bring news I trust, Severus?"
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Severus Snape","It will happen Saturday next.  At nightfall."
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Voldemort","And this information comes --"
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Severus Snape","-- from the source we discussed."
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Corban Yaxley","I have heard differently, my lord. Dawlish, the Auror, let slip that the Potter boy will not be moved until the thirtieth of this month, the night before he turns seventeen."
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Severus Snape","This is a false trail.  The Auror Office no longer plays any part in the protection of Harry Potter. Those closest to him believe we have infiltrated the Ministry."
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Death Eater","Well, they've got that right, then, 'aven't they?"
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Voldemort","Pius, what say you?"
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Pius Thicknesse","One hears many things, my lord. Whether the truth is among them is not clear."
"Harry Potter and the Deathly Hallows Part 1","Dark Lord Ascending","Voldemort","Spoken like a true politician. You will, I think, prove most useful, Pius.  Where will he be taken?  The boy?"
