"movie","chapter","character","dialog"
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Albus Dumbledore","I should have known that you would be here...Professor McGonagall."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Minerva McGonagall","Good evening, Professor Dumbledore. Are the rumours true, Albus?"
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Albus Dumbledore","I'm afraid so, Professor. The good, and the bad."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Minerva McGonagall","And the boy?"
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Albus Dumbledore","Hagrid is bringing him."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Minerva McGonagall","Do you think it wise to trust Hagrid with something as important as this?"
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Albus Dumbledore","Ah, Professor, I would trust Hagrid with my life."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Rubeus Hagrid","Professor Dumbledore, Sir. Professor McGonagall."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Albus Dumbledore","No problems, I trust, Hagrid?"
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Rubeus Hagrid","No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Minerva McGonagall","Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are..."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Albus Dumbledore","The only family he has."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Minerva McGonagall","This boy will be famous. There won't be a child in our world who doesn't know his name."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Albus Dumbledore","Exactly. He's better off growing up away from all that. Until he is ready."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Albus Dumbledore","There, there, Hagrid. It's not really goodbye, after all."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Albus Dumbledore","Good luck...Harry Potter."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia Dursley","Up. Get up.  Now!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley Dursley","Wake up, cousin! We're going to the zoo!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia Dursley","Oh, here he comes, the birthday boy!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Vernon Dursley","Happy birthday, son."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia Dursley","Why don't you just cook the breakfast, and try not to burn anything."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Harry Potter","Yes, Aunt Petunia."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia Dursley","I want everything to be perfect for my Dudley's special day."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Vernon Dursley","Hurry up! Bring my coffee, boy!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Harry Potter","Yes, Uncle Vernon."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia Dursley","Aren’t they wonderful, darling?"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley Dursley","How many are there?"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Vernon Dursley","Thirty-six. Counted 'em myself."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley Dursley","Thirty-six?! But last year last year I had thirty-seven!!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Vernon Dursley","Err yes, well, some of them are quite a bit bigger than last year."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley Dursley","I don't care how big they are!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia Dursley","Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia Dursley","This will be a lovely day at the zoo. I'm really looking forward to it."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Vernon Dursley","I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley Dursley","Make it move."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Vernon Dursley","Move!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley Dursley","MOVE!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Harry Potter","He's asleep!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley Dursley","He's boring."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Harry Potter","Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley Dursley","Mummy, dad, come here! You won't believe what this snake is doing!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley Dursley","Whoa! Ahh! Ahh!!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Snake","Thanks."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Harry Potter","Anytime."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Man","SNAKE!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley Dursley","Mum, mummy!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia Dursley","AHH!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley Dursley","Mum, help! Help me!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia Dursley","My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Petunia Dursley","It's all right. It's all right."
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry Potter","Ow!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","What happened?!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry Potter","I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","There's no such thing as magic!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Petunia Dursley","Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings."
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","Caveat Smeltona. Proudest moment of my life."
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry Potter","Will I have to wear that, too?"
"Harry Potter and the Philosopher's Stone","Letters from No One","Petunia Dursley","What, you? Go to Smeltings?"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","Ha!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Petunia Dursley","Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it."
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry Potter","But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin."
"Harry Potter and the Philosopher's Stone","Letters from No One","Petunia Dursley","It'll fit you well enough. Go get the post.  Go!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","Oh, Marge is ill! Ate a funny whelk."
"Harry Potter and the Philosopher's Stone","Letters from No One","Dudley Dursley","Dad! Look! Harry's got a letter!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry Potter","Hey, give it back! It's mine!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","Yours? Who'd be writing to you?"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","No more mail through this letterbox."
"Harry Potter and the Philosopher's Stone","Letters from No One","Petunia Dursley","Have a lovely day at the office, dear."
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","Shoo! Go on!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?"
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry Potter","Because there's no post on Sunday?"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-"
"Harry Potter and the Philosopher's Stone","Letters from No One","Dudley Dursley","AHH! Make it stop! Please make it stop!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","Go away, ahh!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Dudley Dursley","What is it? Please tell me what's happening!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","Give me that! Give me that letter!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry Potter","Get off! Ahh!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","Ahh!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry Potter","They're my letters! Let go of me!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon Dursley","That's it! We're going away! Far away! Where they can't find us!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Dudley Dursley","Daddy's gone mad, hasn't he?!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry Potter","Make a wish, Harry."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Vernon Dursley","Who's there? Ahh!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","Sorry 'bout that."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Vernon Dursley","I demand that you leave at once, sir! You are breaking and entering!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Dudley Dursley","I-I-I'm not Harry."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry Potter","I-I am."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry Potter","Thank you!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","It's not every day that your young man turns eleven, now is it?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry Potter","Excuse me, who are you?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry Potter","Sorry, no."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry Potter","Learned what?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","You're a wizard, Harry."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry Potter","I-I'm a what?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","A wizard. And a thumping good one at that, I'd wager. Once you train up a little."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry Potter","No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry Potter","Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Vernon Dursley","He'll not be going! We swore when we took him in, we’d put a stop to this rubbish!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry Potter","You knew? You knew all along and you never told me?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Petunia Dursley","Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry Potter","Blown up? You told me my parents died in a car crash!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","A car crash? A car crash kill James and Lily Potter?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Petunia Dursley","We had to tell him something."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","It's an outrage! It's a scandal!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Vernon Dursley","He'll not be going!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","Oh, and I suppose a great Muggle like yourself's going to stop him, are you?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry Potter","Muggle?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","Non magic folk.  This boy's had his name down ever since he was born!  He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the finest headmaster that Hogwarts has ever seen: Albus Dumbledore."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Vernon Dursley","I will not pay for some crackpot old fool to teach him magic tricks!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","Never, insult Albus Dumbledore, in front of me."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Dudley Dursley","Ahh!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry Potter","Okay."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Rubeus Hagrid","Ooh, we're a bit behind schedule. Best be off.  Unless you'd rather stay, of course. Hmm?"
"Harry Potter and the Philosopher's Stone","Diagon Alley","Harry Potter","First year students will require: three sets of work robes, one wand."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Rubeus Hagrid","Essential bit of equipment, Harry."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Harry Potter","One pair of dragon-hide gloves.  Hagrid, do they mean for a real dragon?"
"Harry Potter and the Philosopher's Stone","Diagon Alley","Rubeus Hagrid","Well, they don't mean for a penguin, do they? Heh. Crikey, but not a dragon."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Harry Potter","But you like a dragon?"
"Harry Potter and the Philosopher's Stone","Diagon Alley","Rubeus Hagrid","Fast and misunderstood beasts, Harry. Fast and misunderstood."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Harry Potter","All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Could we find all this in London?"
"Harry Potter and the Philosopher's Stone","Diagon Alley","Rubeus Hagrid","If you know where to go."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Tom","Ah, Hagrid! The usual, I presume?"
"Harry Potter and the Philosopher's Stone","Diagon Alley","Rubeus Hagrid","No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Tom","Bless my soul. It's Harry Potter."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Man","Welcome back, Mr. Potter, welcome back."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Witch","Doris Crockford, Mr. Potter. I can't believe I'm meeting you at last."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Quirinus Quirrell","Harry P-potter. C-can't tell you how pleased I am to meet you."
