"movie","chapter","character","dialog"
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Bellatrix Lestrange","Narcissa!"
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Bellatrix Lestrange","Cissy! You mustn't do this.  He can't be trusted."
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Narcissa Malfoy","The Dark Lord trusts him."
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Bellatrix Lestrange","The Dark Lord is mistaken."
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Bellatrix Lestrange","Or so I believe."
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Narcissa Malfoy","Well, who can one trust these days?"
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Bellatrix Lestrange","He lives in this Muggle dunghill?"
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Severus Snape","Run along, Wormtail."
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Narcissa Malfoy","I've nowhere else to turn, Severus."
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Bellatrix Lestrange","You must be joking."
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Narcissa Malfoy","I know I ought not to be here. The Dark Lord himself has forbidden me to speak of this --"
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Severus Snape","If the Dark Lord has forbidden it, you ought not to speak."
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Severus Snape","Put it down, Bella.  We mustn't touch what isn't ours. As it so happens I'm aware of your situation, Narcissa."
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Bellatrix Lestrange","You? The Dark Lord told you?"
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Severus Snape","Your sister doubts me, Narcissa. Understandable."
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Severus Snape","Over the years I have played my part well.  So well I've deceived one of the greatest wizards of all time."
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Severus Snape","Dumbledore is a great wizard. Only a fool would question it."
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Narcissa Malfoy","I... I don't doubt you, Severus."
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Bellatrix Lestrange","You should feel honored, Cissy. As should Draco --"
"Harry Potter and the Half-Blood Prince","Snape's Visitors","Narcissa Malfoy","He's just a boy!"
