"movie","chapter","character","dialog"
"Harry Potter and the Gobelt of Fire","The Riddle House","Old man","Bloody kids."
"Harry Potter and the Gobelt of Fire","The Riddle House","Peter Pettigrew","Oh no no no my Lord Voldemort. I only meant... perhaps if we were to do it without the boy.."
"Harry Potter and the Gobelt of Fire","The Riddle House","Voldemort","NO! The boy is everything, it cannot be done without him and it WILL be done exactly as I say."
"Harry Potter and the Gobelt of Fire","The Riddle House","Bartemius Crouch Junior","I will not disappoint you my lord."
"Harry Potter and the Gobelt of Fire","The Riddle House","Voldemort","Good. First, gather our old comrades. Send them a sign."
"Harry Potter and the Gobelt of Fire","The Riddle House","Voldemort","Nagini tells me the old caretaker is standing outside the door."
"Harry Potter and the Gobelt of Fire","The Riddle House","Voldemort","Step aside so I can give our guest a proper greeting."
"Harry Potter and the Gobelt of Fire","The Portkey","Hermione Granger","Harry!"
"Harry Potter and the Gobelt of Fire","The Portkey","Hermione Granger","Are you alright?"
"Harry Potter and the Gobelt of Fire","The Portkey","Harry Potter","Hermione. Bad dream. When did you get here?"
"Harry Potter and the Gobelt of Fire","The Portkey","Hermione Granger","Just now. You?"
"Harry Potter and the Gobelt of Fire","The Portkey","Harry Potter","Last night."
"Harry Potter and the Gobelt of Fire","The Portkey","Hermione Granger","Wake up. Wake up Ronald!"
"Harry Potter and the Gobelt of Fire","The Portkey","Ron Weasley","Bloody hell."
"Harry Potter and the Gobelt of Fire","The Portkey","Hermione Granger","Honestly. Get dressed, and don't go back to sleep. Come on Ron! Your mother says breakfast's ready."
"Harry Potter and the Gobelt of Fire","The Portkey","Harry Potter","Where are we actually going?"
"Harry Potter and the Gobelt of Fire","The Portkey","Ron Weasley","Don't know. Hey Dad! Where are we going?"
"Harry Potter and the Gobelt of Fire","The Portkey","Arthur Weasley","Haven't the foggiest, keep up!"
"Harry Potter and the Gobelt of Fire","The Portkey","Amos Diggory","Arthur! It's about time son."
"Harry Potter and the Gobelt of Fire","The Portkey","Arthur Weasley","Sorry Amos. Some of us had a bit of a sleepy start. This is Amos Diggory everyone, he works with me at the ministry. And this strapping young lad must be Cedric, am I right?"
"Harry Potter and the Gobelt of Fire","The Portkey","Cedric Diggory","Yes sir."
"Harry Potter and the Gobelt of Fire","The Portkey","Amos Diggory","Merlin's beard, you must be Harry Potter."
"Harry Potter and the Gobelt of Fire","The Portkey","Harry Potter","Yes sir. This way."
"Harry Potter and the Gobelt of Fire","The Portkey","Amos Diggory","Great great pleasure."
"Harry Potter and the Gobelt of Fire","The Portkey","Harry Potter","Pleasure to meet you too sir."
"Harry Potter and the Gobelt of Fire","The Portkey","Arthur Weasley","That's it sir, just over there."
"Harry Potter and the Gobelt of Fire","The Portkey","Amos Diggory","Shall we? We don't want to be late."
"Harry Potter and the Gobelt of Fire","The Portkey","Harry Potter","Why are they all standing around that manky old boot?"
"Harry Potter and the Gobelt of Fire","The Portkey","Fred Weasley","That isn't just any old manky boot mate."
"Harry Potter and the Gobelt of Fire","The Portkey","George Weasley","It's a portkey."
"Harry Potter and the Gobelt of Fire","The Portkey","Amos Diggory","Time to go. Ready?"
"Harry Potter and the Gobelt of Fire","The Portkey","Harry Potter","What's a 'portkey'?"
"Harry Potter and the Gobelt of Fire","The Portkey","Amos Diggory","After 3. One... Two..."
"Harry Potter and the Gobelt of Fire","The Portkey","Arthur Weasley","Harry!"
"Harry Potter and the Gobelt of Fire","The Portkey","Amos Diggory","Three!"
"Harry Potter and the Gobelt of Fire","The Portkey","Arthur Weasley","Let go kids!"
"Harry Potter and the Gobelt of Fire","The Portkey","Hermione Granger","What??"
"Harry Potter and the Gobelt of Fire","The Portkey","Arthur Weasley","Let! Go!"
"Harry Potter and the Gobelt of Fire","The Portkey","Arthur Weasley","I bet that cleared your sinuses eh?"
"Harry Potter and the Gobelt of Fire","The Portkey","Harry Potter","Thanks."
"Harry Potter and the Gobelt of Fire","The Portkey","Arthur Weasley","Well kids, welcome to the Quidditch World Cup!"
"Harry Potter and the Gobelt of Fire","The Portkey","Amos Diggory","Parting of the waves I think old chap, see you at the match."
"Harry Potter and the Gobelt of Fire","The Portkey","Harry Potter","See ya later Cedric."
"Harry Potter and the Gobelt of Fire","The Portkey","Arthur Weasley","Home sweet home."
"Harry Potter and the Gobelt of Fire","The Portkey","Arthur Weasley","Girls. Choose a bunk and unpack. Ron, get out of the kitchen we're all hungry."
"Harry Potter and the Gobelt of Fire","The Portkey","Fred Weasley","Yeah get out of the kitchen Ron."
"Harry Potter and the Gobelt of Fire","The Portkey","George Weasley","Yeah get out of the kitchen Ron."
"Harry Potter and the Gobelt of Fire","The Portkey","Arthur Weasley","Feet off the table."
"Harry Potter and the Gobelt of Fire","The Portkey","Fred Weasley","Feet off the table."
"Harry Potter and the Gobelt of Fire","The Portkey","George Weasley","Feet off the table."
"Harry Potter and the Gobelt of Fire","The Portkey","Harry Potter","I love magic."
"Harry Potter and the Gobelt of Fire","The Quidditch World Cup","Ron Weasley","Blimey Dad, how far up are we?"
"Harry Potter and the Gobelt of Fire","The Quidditch World Cup","Lucius Malfoy","Well put it this way, if it rains... you'll be the first to know"
"Harry Potter and the Gobelt of Fire","The Quidditch World Cup","Draco Malfoy","Father and I are in the minister's box, by personal invitation of Cornelius Fudge himself."
"Harry Potter and the Gobelt of Fire","The Quidditch World Cup","Lucius Malfoy","Don't boast Draco. There's no need with these people. Do enjoy yourself won't you. While you can."
"Harry Potter and the Gobelt of Fire","The Quidditch World Cup","Arthur Weasley","Come on up, take your seats. I told you these seats would be worth waiting for."
"Harry Potter and the Gobelt of Fire","The Quidditch World Cup","George Weasley","Come on!"
"Harry Potter and the Gobelt of Fire","The Quidditch World Cup","Fred Weasley","It's the Irish!"
"Harry Potter and the Gobelt of Fire","The Quidditch World Cup","George Weasley","Here come the Bulgarians!"
"Harry Potter and the Gobelt of Fire","The Quidditch World Cup","Fred Weasley","Krum!!!"
"Harry Potter and the Gobelt of Fire","The Quidditch World Cup","George Weasley","Krum!!!"
"Harry Potter and the Gobelt of Fire","The Quidditch World Cup","Ron Weasley","Krum!!!"
"Harry Potter and the Gobelt of Fire","The Quidditch World Cup","George Weasley","Yes!"
"Harry Potter and the Gobelt of Fire","The Quidditch World Cup","Announcer","Good evening! It gives me great pleasure to welcome each and every one of you to the final of the 422nd Quidditch World Cup. Let the match begin!"
